INFO  - 2017-08-01 12:27:14.501; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2017-08-01 12:27:14.511; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-08-01 12:27:14.524; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/jhighlight-1.0.jar' to classloader
INFO  - 2017-08-01 12:27:14.528; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/solr-dataimporthandler-4.8.0.jar' to classloader
INFO  - 2017-08-01 12:27:14.534; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-08-01 12:27:14.554; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2017-08-01 12:27:14.570; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/commons-compress-1.7.jar' to classloader
INFO  - 2017-08-01 12:27:14.582; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/tika-core-1.5.jar' to classloader
INFO  - 2017-08-01 12:27:14.583; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/xz-1.4.jar' to classloader
INFO  - 2017-08-01 12:27:14.583; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2017-08-01 12:27:14.590; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2017-08-01 12:27:14.593; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2017-08-01 12:27:14.601; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2017-08-01 12:27:14.603; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/jdom-1.0.jar' to classloader
INFO  - 2017-08-01 12:27:14.612; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-08-01 12:27:14.632; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2017-08-01 12:27:14.634; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2017-08-01 12:27:14.640; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2017-08-01 12:27:14.641; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/lib/bcmail-jdk15-1.45.jar' to classloader
